"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20191220.csv"
"C","Report for: 12/20/2019 - 12/20/2019"
"C","Report generated: 12/23/2019 14:18:23 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/20/2019",01,"321","UN.FRNKLNSQ13.810CC","NETWORK NODE",129.4,125.19,1.61,2.6
"D","12/20/2019",01,"322","UN.FRNKLNSQ13.811CC","NETWORK NODE",129.4,125.19,1.61,2.6
"D","12/20/2019",01,"323","UN.FRNKLNSQ13.89CC","NETWORK NODE",129.4,125.19,1.61,2.6
"D","12/20/2019",01,"324","UN.CDEC    13.8AETN","NETWORK NODE",130.09,125.19,1.61,3.29
"D","12/20/2019",01,"326","UN.ALTRESCO13.8ALTR","NETWORK NODE",124.13,125.19,1.61,-2.67
"D","12/20/2019",01,"327","UN.EDDY    34.5AMOS","NETWORK NODE",124.05,125.19,1.61,-2.75
"D","12/20/2019",01,"328","UN.GULFISLD34.5GULF","NETWORK NODE",120.53,125.19,1.61,-6.27
"D","12/20/2019",01,"329","UN.ASCUTNEY46  ASCU","NETWORK NODE",126.87,125.19,1.61,0.07
"D","12/20/2019",01,"330","UN.PEMIGWAS34.5AYER","NETWORK NODE",123.93,125.19,1.61,-2.87
"D","12/20/2019",01,"331","UN.ROXBURY 34.5AZIS","NETWORK NODE",118.71,125.19,1.61,-8.09
"D","12/20/2019",01,"335","UN.BELLWSFL6.9 BELL","NETWORK NODE",125.64,125.19,1.61,-1.16
"D","12/20/2019",01,"336","UN.BERLINVT34.5BERL","NETWORK NODE",123.68,125.19,1.61,-3.12
"D","12/20/2019",01,"337","UN.WHITEFLD34.5BETH","NETWORK NODE",117.29,125.19,1.61,-9.51
"D","12/20/2019",01,"340","UN.PEQUONCK22.0BHR3","NETWORK NODE",126.25,125.19,1.61,-0.55
"D","12/20/2019",01,"341","UN.PEQUONCK13.8BHR4","NETWORK NODE",126.25,125.19,1.61,-0.55
"D","12/20/2019",01,"345","UN.CATALYST115 BOIS","NETWORK NODE",118.71,125.19,1.61,-8.09
"D","12/20/2019",01,"346","UN.MIDDLESX34.5BOLT","NETWORK NODE",123.87,125.19,1.61,-2.93
"D","12/20/2019",01,"348","UN.PERRY_ST13.8BOOT","NETWORK NODE",126.47,125.19,1.61,-0.33
"D","12/20/2019",01,"349","UN.BPT_RESC13.8BPTR","NETWORK NODE",126.23,125.19,1.61,-0.57
"D","12/20/2019",01,"355","UN.BRANFORD23  BRAN","NETWORK NODE",128.63,125.19,1.61,1.83
"D","12/20/2019",01,"356","UN.FORESTVL13.8BRF","NETWORK NODE",129.0,125.19,1.61,2.2
"D","12/20/2019",01,"357","UN.ASHLAND 34.5BRID","NETWORK NODE",123.09,125.19,1.61,-3.71
"D","12/20/2019",01,"358","UN.TOPSHAM 34.5BRUN","NETWORK NODE",121.37,125.19,1.61,-5.43
"D","12/20/2019",01,"359","UN.BEARSWMP13.8BSW1","NETWORK NODE",123.74,125.19,1.61,-3.06
"D","12/20/2019",01,"360","UN.BEARSWMP13.8BSW2","NETWORK NODE",123.74,125.19,1.61,-3.06
"D","12/20/2019",01,"362","UN.BULLSBDG27.6BULL","NETWORK NODE",126.66,125.19,1.61,-0.14
"D","12/20/2019",01,"363","UN.QUEENCTY13.8BURL","NETWORK NODE",125.08,125.19,1.61,-1.72
"D","12/20/2019",01,"365","UN.CANAL   18.0CAN1","NETWORK NODE",128.69,125.19,1.61,1.89
"D","12/20/2019",01,"366","UN.CANAL   18.0CAN2","NETWORK NODE",128.69,125.19,1.61,1.89
"D","12/20/2019",01,"367","UN.CAPE    13.2CAP4","NETWORK NODE",123.06,125.19,1.61,-3.74
"D","12/20/2019",01,"368","UN.CAPE    13.2CAP5","NETWORK NODE",123.06,125.19,1.61,-3.74
"D","12/20/2019",01,"369","UN.LOUDEN  34.5CATR","NETWORK NODE",122.84,125.19,1.61,-3.96
"D","12/20/2019",01,"370","UN.COSCOB  13.8CC10","NETWORK NODE",126.99,125.19,1.61,0.19
"D","12/20/2019",01,"371","UN.COSCOB  13.8CC11","NETWORK NODE",126.99,125.19,1.61,0.19
"D","12/20/2019",01,"372","UN.COSCOB  13.8CC12","NETWORK NODE",126.99,125.19,1.61,0.19
"D","12/20/2019",01,"375","UN.TAUNTON 13.8CL9C","NETWORK NODE",130.84,125.19,1.61,4.04
"D","12/20/2019",01,"376","UN.TAUNTON 13.8CLE8","NETWORK NODE",130.84,125.19,1.61,4.04
"D","12/20/2019",01,"379","UN.COBBLEMT69  COBB","NETWORK NODE",129.99,125.19,1.61,3.19
"D","12/20/2019",01,"382","UN.MERIMACK13.8CT-1","NETWORK NODE",123.16,125.19,1.61,-3.64
"D","12/20/2019",01,"383","UN.MERIMACK13.8CT-2","NETWORK NODE",123.16,125.19,1.61,-3.64
"D","12/20/2019",01,"388","UN.DARTMTH 13.8DART","NETWORK NODE",131.82,125.19,1.61,5.02
"D","12/20/2019",01,"389","UN.INDIAN  13.8DERB","NETWORK NODE",126.29,125.19,1.61,-0.51
"D","12/20/2019",01,"393","UN.DEERFLD569  DFL5","NETWORK NODE",122.78,125.19,1.61,-4.02
"D","12/20/2019",01,"395","UN.DOREEN  23  DORE","NETWORK NODE",124.13,125.19,1.61,-2.67
"D","12/20/2019",01,"396","UN.DEVON   13.8DV10","NETWORK NODE",126.31,125.19,1.61,-0.49
"D","12/20/2019",01,"397","UN.DEVON   13.2DV11","NETWORK NODE",125.79,125.19,1.61,-1.01
"D","12/20/2019",01,"398","UN.DEVON   13.2DV12","NETWORK NODE",125.79,125.19,1.61,-1.01
"D","12/20/2019",01,"399","UN.DEVON   13.2DV13","NETWORK NODE",125.79,125.19,1.61,-1.01
"D","12/20/2019",01,"400","UN.DEVON   13.2DV14","NETWORK NODE",125.79,125.19,1.61,-1.01
"D","12/20/2019",01,"401","UN.WEBSTER 34.5EAST","NETWORK NODE",124.69,125.19,1.61,-2.11
"D","12/20/2019",01,"405","UN.ELLSWRTH34.5ELLS","NETWORK NODE",-2.93,125.19,-118.06,-10.06
"D","12/20/2019",01,"407","UN.WASHNGTN34.5EPTD","NETWORK NODE",-4.32,125.19,-118.08,-11.43
"D","12/20/2019",01,"410","UN.ESSEX   34.5ESSH","NETWORK NODE",123.84,125.19,1.61,-2.96
"D","12/20/2019",01,"412","UN.FALSVL  69  FALS","NETWORK NODE",126.89,125.19,1.61,0.09
"D","12/20/2019",01,"413","UN.DEERFLD569  FIFE","NETWORK NODE",122.78,125.19,1.61,-4.02
"D","12/20/2019",01,"417","UN.FRAMNGHM13.8FMJ1","NETWORK NODE",129.1,125.19,1.61,2.3
"D","12/20/2019",01,"418","UN.FRAMNGHM13.8FMJ2","NETWORK NODE",129.1,125.19,1.61,2.3
"D","12/20/2019",01,"419","UN.FRAMNGHM13.8FMJ3","NETWORK NODE",129.1,125.19,1.61,2.3
"D","12/20/2019",01,"420","UN.FRNKLNDR13.2FRDR","NETWORK NODE",128.82,125.19,1.61,2.02
"D","12/20/2019",01,"421","UN.CHICOPEE13.8FRST","NETWORK NODE",129.69,125.19,1.61,2.89
"D","12/20/2019",01,"424","UN.POWERSVL115 GNRT","NETWORK NODE",-5.95,125.19,-118.24,-12.9
"D","12/20/2019",01,"426","UN.ESSEX   34.5GORD","NETWORK NODE",123.84,125.19,1.61,-2.96
"D","12/20/2019",01,"427","UN.BERLN_NH34.5GORH","NETWORK NODE",111.31,125.19,1.61,-15.49
"D","12/20/2019",01,"432","UN.HARRIS  13.2HAR1","NETWORK NODE",114.48,125.19,1.61,-12.32
"D","12/20/2019",01,"433","UN.HARRIS  13.2HAR2","NETWORK NODE",114.48,125.19,1.61,-12.32
"D","12/20/2019",01,"434","UN.HARRIS  13.2HAR3","NETWORK NODE",114.48,125.19,1.61,-12.32
"D","12/20/2019",01,"435","UN.HARRIMAN6.9 HARR","NETWORK NODE",123.76,125.19,1.61,-3.04
"D","12/20/2019",01,"436","UN.NORTH_RD34.5HEMP","NETWORK NODE",127.44,125.19,1.61,0.64
"D","12/20/2019",01,"440","UN.W_BUXTON34.5HIRM","NETWORK NODE",122.79,125.19,1.61,-4.01
"D","12/20/2019",01,"445","UN.ENFLD_ME115 IND5","NETWORK NODE",-5.41,125.19,-118.2,-12.4
"D","12/20/2019",01,"446","UN.WASHNGTN34.5IND6","NETWORK NODE",-4.32,125.19,-118.08,-11.43
"D","12/20/2019",01,"448","UN.KING_ST 23  IPSD","NETWORK NODE",124.89,125.19,1.61,-1.91
"D","12/20/2019",01,"449","UN.JACKMAN 34.5JACK","NETWORK NODE",123.7,125.19,1.61,-3.1
"D","12/20/2019",01,"452","UN.KENDALL 13.8KDJ1","NETWORK NODE",126.54,125.19,1.61,-0.26
"D","12/20/2019",01,"457","UN.S_BROADW23  LAWH","NETWORK NODE",126.47,125.19,1.61,-0.33
"D","12/20/2019",01,"460","UN.WINSLOW 34.5LCKW","NETWORK NODE",118.05,125.19,1.61,-8.75
"D","12/20/2019",01,"461","UN.LENERGIA13.8LENR","NETWORK NODE",126.47,125.19,1.61,-0.33
"D","12/20/2019",01,"462","UN.LISBON  115 LISB","NETWORK NODE",128.0,125.19,1.61,1.2
