"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/20/2019 11:56:10 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019",01,"410","UN.ESSEX   34.5ESSH","NETWORK NODE",76.55,78.3,0.06,-1.81
"D","12/19/2019",01,"412","UN.FALSVL  69  FALS","NETWORK NODE",78.16,78.3,0.06,-0.2
"D","12/19/2019",01,"413","UN.DEERFLD569  FIFE","NETWORK NODE",76.35,78.3,0.06,-2.01
"D","12/19/2019",01,"417","UN.FRAMNGHM13.8FMJ1","NETWORK NODE",79.82,78.3,0.06,1.46
"D","12/19/2019",01,"418","UN.FRAMNGHM13.8FMJ2","NETWORK NODE",79.82,78.3,0.06,1.46
"D","12/19/2019",01,"419","UN.FRAMNGHM13.8FMJ3","NETWORK NODE",79.82,78.3,0.06,1.46
"D","12/19/2019",01,"420","UN.FRNKLNDR13.2FRDR","NETWORK NODE",79.65,78.3,0.06,1.29
"D","12/19/2019",01,"421","UN.CHICOPEE13.8FRST","NETWORK NODE",80.16,78.3,0.06,1.8
"D","12/19/2019",01,"424","UN.POWERSVL115 GNRT","NETWORK NODE",71.22,78.3,0.06,-7.14
"D","12/19/2019",01,"426","UN.ESSEX   34.5GORD","NETWORK NODE",76.55,78.3,0.06,-1.81
"D","12/19/2019",01,"427","UN.BERLN_NH34.5GORH","NETWORK NODE",28.27,78.3,-39.67,-10.36
"D","12/19/2019",01,"432","UN.HARRIS  13.2HAR1","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"433","UN.HARRIS  13.2HAR2","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"434","UN.HARRIS  13.2HAR3","NETWORK NODE",70.13,78.3,0.06,-8.23
"D","12/19/2019",01,"435","UN.HARRIMAN6.9 HARR","NETWORK NODE",77.0,78.3,0.06,-1.36
"D","12/19/2019",01,"436","UN.NORTH_RD34.5HEMP","NETWORK NODE",78.84,78.3,0.06,0.48
"D","12/19/2019",01,"440","UN.W_BUXTON34.5HIRM","NETWORK NODE",75.97,78.3,0.06,-2.39
"D","12/19/2019",01,"445","UN.ENFLD_ME115 IND5","NETWORK NODE",71.57,78.3,0.06,-6.79
"D","12/19/2019",01,"446","UN.WASHNGTN34.5IND6","NETWORK NODE",72.97,78.3,0.06,-5.39
"D","12/19/2019",01,"448","UN.KING_ST 23  IPSD","NETWORK NODE",77.18,78.3,0.06,-1.18
"D","12/19/2019",01,"449","UN.JACKMAN 34.5JACK","NETWORK NODE",76.16,78.3,0.06,-2.2
"D","12/19/2019",01,"452","UN.KENDALL 13.8KDJ1","NETWORK NODE",78.13,78.3,0.06,-0.23
"D","12/19/2019",01,"457","UN.S_BROADW23  LAWH","NETWORK NODE",77.9,78.3,0.06,-0.46
"D","12/19/2019",01,"460","UN.WINSLOW 34.5LCKW","NETWORK NODE",73.05,78.3,0.06,-5.31
"D","12/19/2019",01,"461","UN.LENERGIA13.8LENR","NETWORK NODE",77.9,78.3,0.06,-0.46
"D","12/19/2019",01,"462","UN.LISBON  115 LISB","NETWORK NODE",79.07,78.3,0.06,0.71
"D","12/19/2019",01,"463","UN.LVER-AEI115 LIVR","NETWORK NODE",73.09,78.3,0.06,-5.27
"D","12/19/2019",01,"464","UN.LOSTNATN34.5LOST","NETWORK NODE",69.3,78.3,0.06,-9.06
"D","12/19/2019",01,"465","UN.LOWRDFLD69  LOWD","NETWORK NODE",76.04,78.3,0.06,-2.32
"D","12/19/2019",01,"466","UN.K_STREET115 LST","NETWORK NODE",78.68,78.3,0.06,0.32
"D","12/19/2019",01,"467","UN.RAILYARD23  MARB","NETWORK NODE",77.6,78.3,0.06,-0.76
"D","12/19/2019",01,"468","UN.BERLINVT34.5MARH","NETWORK NODE",76.56,78.3,0.06,-1.8
"D","12/19/2019",01,"472","UN.MBTA    14.4MBTA","NETWORK NODE",78.68,78.3,0.06,0.32
"D","12/19/2019",01,"473","UN.COMERFRD34.5MCIN","NETWORK NODE",74.87,78.3,0.06,-3.49
"D","12/19/2019",01,"474","UN.EAST_AVE34.5MCNL","NETWORK NODE",76.57,78.3,0.06,-1.79
"D","12/19/2019",01,"478","UN.MIDDLETN115 MI10","NETWORK NODE",79.39,78.3,0.06,1.03
"D","12/19/2019",01,"480","UN.MIDDLETN13.2MID2","NETWORK NODE",79.39,78.3,0.06,1.03
"D","12/19/2019",01,"481","UN.MIDDLETN20.9MID3","NETWORK NODE",79.39,78.3,0.06,1.03
"D","12/19/2019",01,"482","UN.LAUREL  22  MID4","NETWORK NODE",78.9,78.3,0.06,0.54
"D","12/19/2019",01,"484","UN.MILSTONE24.0MIL2","NETWORK NODE",78.62,78.3,0.06,0.26
"D","12/19/2019",01,"485","UN.MILSTONE24.0MIL3","NETWORK NODE",78.62,78.3,0.06,0.26
"D","12/19/2019",01,"486","UN.MILFORD 13.8MILF","NETWORK NODE",80.22,78.3,0.06,1.86
"D","12/19/2019",01,"487","UN.TOPSHAM 34.5MILR","NETWORK NODE",74.95,78.3,0.06,-3.41
"D","12/19/2019",01,"489","UN.MERIMACK13.8MK1","NETWORK NODE",75.73,78.3,0.06,-2.63
"D","12/19/2019",01,"490","UN.MERIMACK23.0MK2","NETWORK NODE",75.73,78.3,0.06,-2.63
"D","12/19/2019",01,"492","UN.MONTVLLE69  MO10","NETWORK NODE",79.12,78.3,0.06,0.76
"D","12/19/2019",01,"493","UN.MONTVLLE13.8MON5","NETWORK NODE",78.92,78.3,0.06,0.56
"D","12/19/2019",01,"494","UN.MONTVLLE22.0MON6","NETWORK NODE",78.92,78.3,0.06,0.56
"D","12/19/2019",01,"495","UN.MIDDLEST34.5MONY","NETWORK NODE",74.64,78.3,0.06,-3.72
"D","12/19/2019",01,"497","UN.SHAWINGN13.8MPWR","NETWORK NODE",80.02,78.3,0.06,1.66
"D","12/19/2019",01,"502","UN.MYSTIC  22  MYS7","NETWORK NODE",77.69,78.3,0.06,-0.67
"D","12/19/2019",01,"503","UN.MYSTIC  24.0MYSJ","NETWORK NODE",77.07,78.3,0.06,-1.29
"D","12/19/2019",01,"508","UN.NEWINGTN24.0NEWI","NETWORK NODE",76.17,78.3,0.06,-2.19
"D","12/19/2019",01,"513","UN.E_SHORE 22  NHHB","NETWORK NODE",79.33,78.3,0.06,0.97
"D","12/19/2019",01,"515","UN.TUNNEL  69  NORJ","NETWORK NODE",79.06,78.3,0.06,0.7
"D","12/19/2019",01,"527","UN.WARD_HIL23  OGD","NETWORK NODE",77.1,78.3,0.06,-1.26
"D","12/19/2019",01,"528","UN.OCEAN_ST13.8OSP1","NETWORK NODE",79.17,78.3,0.06,0.81
"D","12/19/2019",01,"529","UN.OCEAN_ST13.8OSP2","NETWORK NODE",79.17,78.3,0.06,0.81
"D","12/19/2019",01,"531","UN.ADMIRAL 23.0PAWP","NETWORK NODE",79.41,78.3,0.06,1.05
"D","12/19/2019",01,"532","UN.TOPSHAM 34.5PEJE","NETWORK NODE",74.95,78.3,0.06,-3.41
"D","12/19/2019",01,"536","UN.CHEMICAL115 PERC","NETWORK NODE",72.51,78.3,0.06,-5.85
"D","12/19/2019",01,"538","UN.FLAGG_PD13.8PINE","NETWORK NODE",78.71,78.3,0.06,0.35
"D","12/19/2019",01,"539","UN.PONTOOK 34.5PONT","NETWORK NODE",27.52,78.3,-39.67,-11.11
"D","12/19/2019",01,"540","UN.POTTER  13.8POT2","NETWORK NODE",78.02,78.3,0.06,-0.34
"D","12/19/2019",01,"541","UN.FLORNCE 46  PROC","NETWORK NODE",78.13,78.3,0.06,-0.23
"D","12/19/2019",01,"542","UN.SPRNG_ST34.5PTRR","NETWORK NODE",75.8,78.3,0.06,-2.56
"D","12/19/2019",01,"546","UN.RESCOS  115 RESC","NETWORK NODE",77.66,78.3,0.06,-0.7
"D","12/19/2019",01,"547","UN.WARD_HIL23  RESN","NETWORK NODE",77.1,78.3,0.06,-1.26
"D","12/19/2019",01,"549","UN.N_RUTLND46  RUT5","NETWORK NODE",78.32,78.3,0.06,-0.04
"D","12/19/2019",01,"555","UN.SEABROOK24.5SBRK","NETWORK NODE",76.38,78.3,0.06,-1.98
"D","12/19/2019",01,"556","UN.SCHILLER115 SCH4","NETWORK NODE",76.79,78.3,0.06,-1.57
"D","12/19/2019",01,"557","UN.SCHILLER115 SCH5","NETWORK NODE",76.79,78.3,0.06,-1.57
