"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20190122.csv"
"C","Report for: 01/22/2019 - 01/22/2019"
"C","Report generated: 03/30/2020 17:51:59 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","01/22/2019",01,"410","UN.ESSEX   34.5ESSH","NETWORK NODE",126.98,128.78,0.27,-2.07
"D","01/22/2019",01,"412","UN.FALSVL  69  FALS","NETWORK NODE",135.61,128.78,0.27,6.56
"D","01/22/2019",01,"413","UN.DEERFLD569  FIFE","NETWORK NODE",128.21,128.78,0.27,-0.84
"D","01/22/2019",01,"417","UN.FRAMNGHM13.8FMJ1","NETWORK NODE",130.13,128.78,0.27,1.08
"D","01/22/2019",01,"418","UN.FRAMNGHM13.8FMJ2","NETWORK NODE",130.13,128.78,0.27,1.08
"D","01/22/2019",01,"419","UN.FRAMNGHM13.8FMJ3","NETWORK NODE",130.13,128.78,0.27,1.08
"D","01/22/2019",01,"420","UN.FRNKLNDR13.2FRDR","NETWORK NODE",131.08,128.78,0.27,2.03
"D","01/22/2019",01,"421","UN.CHICOPEE13.8FRST","NETWORK NODE",130.8,128.78,0.27,1.75
"D","01/22/2019",01,"424","UN.POWERSVL115 GNRT","NETWORK NODE",-13.5,128.78,-135.69,-6.59
"D","01/22/2019",01,"426","UN.ESSEX   34.5GORD","NETWORK NODE",126.98,128.78,0.27,-2.07
"D","01/22/2019",01,"427","UN.BERLN_NH34.5GORH","NETWORK NODE",111.48,128.78,0.27,-17.57
"D","01/22/2019",01,"432","UN.HARRIS  13.2HAR1","NETWORK NODE",117.67,128.78,0.27,-11.38
"D","01/22/2019",01,"433","UN.HARRIS  13.2HAR2","NETWORK NODE",117.67,128.78,0.27,-11.38
"D","01/22/2019",01,"434","UN.HARRIS  13.2HAR3","NETWORK NODE",117.67,128.78,0.27,-11.38
"D","01/22/2019",01,"435","UN.HARRIMAN6.9 HARR","NETWORK NODE",128.55,128.78,0.27,-0.5
"D","01/22/2019",01,"436","UN.NORTH_RD34.5HEMP","NETWORK NODE",128.66,128.78,0.27,-0.39
"D","01/22/2019",01,"440","UN.W_BUXTON34.5HIRM","NETWORK NODE",127.55,128.78,0.27,-1.5
"D","01/22/2019",01,"445","UN.ENFLD_ME115 IND5","NETWORK NODE",122.78,128.78,0.27,-6.27
"D","01/22/2019",01,"446","UN.WASHNGTN34.5IND6","NETWORK NODE",125.26,128.78,0.27,-3.79
"D","01/22/2019",01,"448","UN.KING_ST 23  IPSD","NETWORK NODE",127.85,128.78,0.27,-1.2
"D","01/22/2019",01,"449","UN.JACKMAN 34.5JACK","NETWORK NODE",126.38,128.78,0.27,-2.67
"D","01/22/2019",01,"452","UN.KENDALL 13.8KDJ1","NETWORK NODE",128.75,128.78,0.27,-0.3
"D","01/22/2019",01,"457","UN.S_BROADW23  LAWH","NETWORK NODE",127.62,128.78,0.27,-1.43
"D","01/22/2019",01,"460","UN.WINSLOW 34.5LCKW","NETWORK NODE",124.21,128.78,0.27,-4.84
"D","01/22/2019",01,"461","UN.LENERGIA13.8LENR","NETWORK NODE",127.62,128.78,0.27,-1.43
"D","01/22/2019",01,"462","UN.LISBON  115 LISB","NETWORK NODE",128.81,128.78,0.27,-0.24
"D","01/22/2019",01,"463","UN.LVER-AEI115 LIVR","NETWORK NODE",122.78,128.78,0.27,-6.27
"D","01/22/2019",01,"464","UN.LOSTNATN34.5LOST","NETWORK NODE",113.86,128.78,0.27,-15.19
"D","01/22/2019",01,"465","UN.LOWRDFLD69  LOWD","NETWORK NODE",128.43,128.78,0.27,-0.62
"D","01/22/2019",01,"466","UN.K_STREET115 LST","NETWORK NODE",129.34,128.78,0.27,0.29
"D","01/22/2019",01,"467","UN.RAILYARD23  MARB","NETWORK NODE",129.28,128.78,0.27,0.23
"D","01/22/2019",01,"468","UN.BERLINVT34.5MARH","NETWORK NODE",126.49,128.78,0.27,-2.56
"D","01/22/2019",01,"472","UN.MBTA    14.4MBTA","NETWORK NODE",129.14,128.78,0.27,0.09
"D","01/22/2019",01,"473","UN.COMERFRD34.5MCIN","NETWORK NODE",123.11,128.78,0.27,-5.94
"D","01/22/2019",01,"474","UN.EAST_AVE34.5MCNL","NETWORK NODE",127.04,128.78,0.27,-2.01
"D","01/22/2019",01,"478","UN.MIDDLETN115 MI10","NETWORK NODE",129.96,128.78,0.27,0.91
"D","01/22/2019",01,"480","UN.MIDDLETN13.2MID2","NETWORK NODE",129.96,128.78,0.27,0.91
"D","01/22/2019",01,"481","UN.MIDDLETN20.9MID3","NETWORK NODE",129.96,128.78,0.27,0.91
"D","01/22/2019",01,"482","UN.LAUREL  22  MID4","NETWORK NODE",129.42,128.78,0.27,0.37
"D","01/22/2019",01,"484","UN.MILSTONE24.0MIL2","NETWORK NODE",127.47,128.78,0.27,-1.58
"D","01/22/2019",01,"485","UN.MILSTONE24.0MIL3","NETWORK NODE",127.47,128.78,0.27,-1.58
"D","01/22/2019",01,"486","UN.MILFORD 13.8MILF","NETWORK NODE",130.71,128.78,0.27,1.66
"D","01/22/2019",01,"487","UN.TOPSHAM 34.5MILR","NETWORK NODE",126.73,128.78,0.27,-2.32
"D","01/22/2019",01,"489","UN.MERIMACK13.8MK1","NETWORK NODE",124.34,128.78,0.27,-4.71
"D","01/22/2019",01,"490","UN.MERIMACK23.0MK2","NETWORK NODE",124.34,128.78,0.27,-4.71
"D","01/22/2019",01,"492","UN.MONTVLLE69  MO10","NETWORK NODE",128.9,128.78,0.27,-0.15
"D","01/22/2019",01,"493","UN.MONTVLLE13.8MON5","NETWORK NODE",128.5,128.78,0.27,-0.55
"D","01/22/2019",01,"494","UN.MONTVLLE22.0MON6","NETWORK NODE",128.5,128.78,0.27,-0.55
"D","01/22/2019",01,"495","UN.MIDDLEST34.5MONY","NETWORK NODE",125.96,128.78,0.27,-3.09
"D","01/22/2019",01,"497","UN.SHAWINGN13.8MPWR","NETWORK NODE",130.54,128.78,0.27,1.49
"D","01/22/2019",01,"502","UN.MYSTIC  22  MYS7","NETWORK NODE",128.57,128.78,0.27,-0.48
"D","01/22/2019",01,"503","UN.MYSTIC  24.0MYSJ","NETWORK NODE",129.21,128.78,0.27,0.16
"D","01/22/2019",01,"508","UN.NEWINGTN24.0NEWI","NETWORK NODE",126.94,128.78,0.27,-2.11
