NY_CAPITL,NY_CENTRL,NY_DUNWOD,NY_GENESE,NY_HQ,NY_HUDSON_VALLEY,NY_LONG_ISLAND,NY_MHKVL,NY_MILLWD,N.Y.C.,NY_NORTH,NY_NPX,NY_OH,NY_PJM,NY_WEST,MINNESOTA,MICHIGAN,ILLINOIS,INDIANA,ARKANSAS,MISSISIPI,TEXAS,LOUISIANA,MISOURI,IOWA,WISCONSIN,N-DAKOTA,S-DAKOTA,MONTANA,TX_AEN,TX_CPS,TX_HOUSTON,TX_LCRA,TX_NORTH,TX_RAYBN,TX_SOUTH,TX_WEST,MAINE,NEW_HAMPSHIRE,VERMONT,CONNETICUT,RHODEISLAND,SE_MASSACHUSETTS,WEST_MASSACHUSETTS,BOSTON
2596.99312013559,2547.5173636840445,2696.2071011709063,2628.943955775193,2612.3992368456165,2685.752063009618,2745.640669816862,2611.5387527452117,2707.602500104389,2756.567045729111,2680.720199343755,2596.3820841617894,2608.2311242308124,2557.1867779537065,2583.896216075876,2710.5311886072923,2762.4638619583247,2969.2976469558516,2901.89963622849,3167.550502421749,3699.138155486105,3330.0699685073237,2949.2533258333187,2888.418637581568,2786.163273081659,2869.691576015201,2975.1320029780004,2982.057302294744,2840.822840533808,3332.4892362968385,3335.510426466131,3331.0452536227317,3338.691978825209,3340.0993420920695,3337.4384160486184,3326.903055753513,3327.1798357481566,2737.2634813890695,2633.260843818847,2717.245808266575,2687.4978940388846,2711.540285362645,2710.762673107239,2698.2593694936554,2698.070312923898
2605.503132096116,2544.829610054384,2702.648199885853,2633.427103283758,2604.251765313167,2702.01505597715,2750.7435540661227,2603.778159609451,2704.3222176205377,2744.964088821588,2666.2367163264553,2603.0179221735175,2611.631240861343,2545.8336873898984,2578.143325246306,2701.0083435904717,2753.901764570337,2985.358578243155,2909.194260321912,3189.200439564357,3717.4759734152667,3338.2295496480147,2957.427561824686,2876.522789637563,2780.2856287949544,2871.667066810371,2972.393801855991,2973.2147392365964,2836.546543302026,3333.673268453695,3322.165456153543,3332.701892884698,3323.2594547754416,3329.308499977443,3328.5464926921777,3338.541950914761,3346.1501793152343,2727.4352541848066,2630.520432975996,2719.4226991383466,2694.449823121874,2696.5393745317324,2703.324303339068,2699.1359591567652,2704.9438524014117
2595.505751111009,2541.8856996290824,2691.293670831724,2637.109851254207,2604.032786222451,2700.144302814849,2754.5950040952284,2596.4034019607543,2697.4513033402504,2752.505418922684,2668.283833143397,2606.692456355561,2610.1553575791854,2554.332658048619,2581.8085957375306,2702.365650559812,2758.321157549668,2987.091397354914,2907.3080957614416,3160.1104493626726,3711.2702201343277,3338.7398021357994,2955.6112514724728,2881.562631699656,2790.8744602648835,2869.5605159434467,2966.2978160792295,2982.2976124443803,2845.571425320771,3337.1927046162427,3337.94344454867,3332.629855230382,3330.584026370488,3319.015777660169,3330.1977685118504,3334.626631361681,3328.1611272100167,2734.3113524530118,2616.861123117043,2714.705680247468,2697.173214580852,2705.549154661375,2700.1198133414523,2692.140562362804,2694.340461254512
2609.017444517616,2557.0520447228973,2691.1903098512385,2632.192532793867,2608.2702590490653,2702.9680433539816,2755.620539744818,2602.7088023176157,2692.1600635066097,2761.440203527718,2677.08599909703,2599.452458938577,2609.3587784934384,2544.6869805862866,2584.4899818890513,2698.4200291971524,2758.7228350735054,2991.420520053907,2913.4945576129235,3166.3288679618026,3706.595745473716,3334.0370101479575,2958.827122068128,2885.2573084187557,2789.9687453586603,2860.5602568567156,2984.4019912871554,2993.335834383411,2838.4841922575097,3337.869280777245,3336.049658314326,3339.6993017586437,3341.1212956779104,3337.910562117982,3339.8249228033214,3332.5320944589057,3336.9311749879585,2733.1032554062217,2629.8963337071536,2720.872349474281,2700.3308930940507,2711.6491913661125,2704.468203551588,2702.483148819948,2696.9117960553335
2600.968034439005,2558.3276031001856,2696.5630597906325,2637.1277642787036,2611.081942362373,2709.3604153277333,2753.484358120733,2604.3456628633344,2699.9529695667875,2761.999370551787,2671.3811845254486,2602.270608265513,2607.42821275837,2550.9563242230297,2585.5388450411697,2696.3814567601785,2756.5130510109916,2970.742197093333,2907.3414893778154,3176.942133312649,3693.5814093380504,3338.2916302243516,2959.202129622729,2877.7774846840416,2790.9830797007917,2872.9739460460264,2965.7071514494037,2987.828481024839,2833.1785552622946,3348.8919477601676,3343.346365370629,3324.835647613808,3336.375840055409,3338.819454135587,3342.480113918052,3340.358490176384,3340.7255717203543,2729.983565531412,2627.3308871738377,2716.2704971230914,2700.3919851095447,2711.0803305594527,2699.0063975229764,2702.778628670832,2700.422223618923
2599.6265244881665,2553.288391373115,2691.527671431769,2623.508705145906,2608.477603975742,2698.495515430084,2746.949047688415,2613.077466050158,2693.3846337310592,2753.294235622493,2677.6382003812355,2610.1816706771806,2611.764856708374,2563.754309906946,2571.1658216474434,2688.512451919825,2753.5168937224985,2980.634763598066,2904.194083733908,3166.1262800580434,3706.68161045514,3335.6169113530136,2963.818081522817,2881.0715005519914,2793.0480735911287,2863.720774768806,2979.1849452052993,2987.2147126040313,2833.899404011517,3337.284982446264,3321.286834359782,3355.9534946199665,3332.9619849151545,3341.8801554956594,3339.786871154889,3339.318253588991,3339.094494590394,2738.8449780820206,2622.6513540886604,2732.427142168963,2704.0512764589616,2698.89126195551,2697.883948349134,2696.6851477203513,2705.7070993398593
2606.0795128692175,2546.503994369074,2702.141031605704,2639.0632246952027,2605.773393200999,2702.5512746016416,2753.6731685392365,2609.9976502873014,2693.7664836412087,2754.1238360640973,2684.3963102372895,2594.4574165569,2617.087076577614,2551.81136220888,2574.962146026498,2700.0349494972115,2755.2473415484333,2974.047474568952,2896.295947629968,3168.6557140926257,3706.0560098917417,3341.466217801537,2956.194492957279,2881.070777971099,2794.6011360763423,2883.0935765549284,2974.5634491018754,2977.569239902671,2835.5536031819856,3329.016059194337,3325.418599103477,3339.6100745744325,3343.7608307212017,3339.2897280617494,3337.4583193145754,3345.544972457463,3346.572089390612,2730.8965239907157,2615.5783086993238,2718.906621491528,2693.54688593157,2702.571230775473,2708.347234494449,2699.233484113833,2699.1336751697527
2601.5432425302743,2549.1603443234076,2697.848121222,2625.466158969969,2603.437125580862,2698.232081295581,2757.296220125194,2599.9183491326003,2708.176062483657,2746.946557816623,2676.727622293712,2606.5630816035273,2611.238692039709,2549.423265961797,2579.7931763496117,2690.487008032718,2760.9731336610525,2969.884857290177,2902.378304943852,3170.41438038261,3706.9730392236165,3335.651532484823,2963.2698044534777,2875.796739781251,2789.775398009523,2870.8392693054866,2984.8707783405757,2968.6445157921476,2834.772697653864,3345.803516790616,3343.3295120680505,3330.4282964809377,3341.2177209207202,3337.7119910868687,3338.8438578415257,3328.4818669928995,3335.4038161004496,2732.5597134711325,2624.9030475476125,2705.6756240332898,2698.090742688122,2690.4034086138568,2702.5978120000827,2705.0074643678336,2698.0881157563713
2604.711175831301,2558.802535114072,2696.0647124821244,2641.674529914205,2605.826501309255,2693.930357426345,2749.3405857443054,2608.9645312145203,2695.4547236370627,2750.613988283105,2676.7845503190656,2601.199601135988,2616.1426511526956,2544.6104730651905,2577.478229945911,2693.9186802502077,2755.64842154802,2979.5742555491784,2898.1744206164303,3168.036454185955,3706.2238346206736,3329.6801698199347,2960.032513168648,2892.0428769494197,2791.6891822073767,2868.695371617866,2981.751731726193,2982.605833468168,2828.2605902874348,3328.1584331347626,3338.533340105742,3344.1107271517085,3337.4124418096285,3345.972102978803,3330.8442184132673,3319.4099172675983,3342.1615420100784,2737.4513978838413,2626.8726252861775,2719.0812474264853,2698.8047968320275,2696.508041224183,2696.9172769130623,2709.6392604040643,2693.404303565939
2609.54393340071,2551.394733983722,2696.9367428751457,2633.3065718531902,2609.620357753339,2692.6747240005825,2755.967637209182,2612.066071517,2695.005343007598,2755.4134395639085,2667.5083857550444,2603.6436982651253,2601.9508771992414,2551.735598674032,2582.5985112246117,2695.1028481933718,2766.1120209304245,2976.7276437355054,2908.0974594632025,3165.3895128873855,3719.7612315111346,3339.5514265944066,2956.9671837325104,2886.480677392493,2789.979604394008,2868.740861768938,2974.4770621342727,2987.6670237053304,2834.5469749129584,3347.524203570526,3332.1474554025167,3333.9455523936103,3336.2700781850613,3322.726406314869,3333.7511864754083,3345.5991956736043,3340.3482026075826,2744.4053246599524,2626.1148186578575,2723.7327700184687,2698.9059182168385,2702.8234044995793,2700.4578713874284,2705.3049469697194,2701.247515691448
