,NY_CAPITL,NY_CENTRL,NY_DUNWOD,NY_GENESE,NY_HQ,NY_HUDSON_VALLEY,NY_LONG_ISLAND,NY_MHKVL,NY_MILLWD,N.Y.C.,NY_NORTH,NY_NPX,NY_OH,NY_PJM,NY_WEST,MINNESOTA,MICHIGAN,ILLINOIS,INDIANA,ARKANSAS,MISSISIPI,TEXAS,LOUISIANA,MISOURI,IOWA,WISCONSIN,N-DAKOTA,S-DAKOTA,MONTANA,TX_AEN,TX_CPS,TX_HOUSTON,TX_LCRA,TX_NORTH,TX_RAYBN,TX_SOUTH,TX_WEST,MAINE,NEW_HAMPSHIRE,VERMONT,CONNETICUT,RHODEISLAND,SE_MASSACHUSETTS,WEST_MASSACHUSETTS,BOSTON
count,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0,8664.0
mean,39.10628347183748,32.16280470914121,38.99463180978747,31.033507617728564,25.665167359187407,38.04413319482914,46.65371075715586,32.45299515235454,38.6065951061865,42.25666897506924,26.18550784856887,41.63918397968603,29.380216989843042,34.613785780239965,33.05256117266861,26.52336218836566,32.93281394275164,29.120604801477317,32.99553093259459,29.209838411818975,32.47273199445984,31.284196675900226,35.408027469990785,26.966014542936264,26.17942289935366,30.220839104339976,24.465111957525384,24.842825484764486,22.99572945521694,24.709502539242852,25.649075484764673,29.104544090489227,24.996196906740533,23.901585872576145,23.675587488458106,28.94264658356421,23.726464681440486,30.170945742502692,30.749861997671594,30.097080874382776,30.30023334939185,30.66064454614793,30.852253251836785,30.72471325625272,30.96552882492268
std,73.04578221532792,55.8230496640081,72.82606865457677,53.85471552296078,63.857352395691805,68.50190979481812,80.15426722545625,57.45588300237058,71.05566179716898,75.82971282145986,63.01088090008663,76.2211759800028,71.04592738887014,63.83071131072185,64.54383422310211,15.203250114864064,22.817707413892524,16.039502222325325,20.824834640389714,19.488156546223117,37.10465522998533,23.07381855660154,53.45660015019507,15.186223405848892,16.6082109812441,16.7424460761193,15.830862083542364,14.751621216914288,27.614500827244374,10.201124463303978,11.011001539348316,16.63126107306447,10.715838350259645,9.697250315128514,9.063218793378569,14.837363789340303,10.65263932989089,20.07397946426146,20.49123206046282,20.07081788674752,20.321786582687956,20.681131735018756,20.696797585002344,20.64923793676219,20.69530416791552
min,-817.52,-779.3,-815.94,-764.89,-1989.73,-812.88,-838.06,-786.14,-815.24,-821.31,-1711.21,-824.34,-3970.96,-784.05,-773.2,-53.45,-28.59,-88.45,2.87,-61.09,-109.27,-34.42,-17.77,-16.97,-87.26,-14.59,-163.95,-17.04,-489.55,1.92,1.99,3.0,1.9,1.89,2.04,1.85,-3.67,-55.78,-56.38,-55.54,-55.31,-56.46,-56.77,-56.14,-56.58
25%,20.7175,18.3,21.017500000000002,17.69,14.93,20.7775,22.62,18.33,20.94,22.817500000000003,15.37,21.48,17.02,19.1175,17.61,20.31,23.53,21.68,23.35,21.67,22.1,22.9975,23.017500000000002,20.14,19.69,22.63,18.68,18.63,18.63,19.29,19.74,20.13,19.29,18.78,18.87,20.69,18.54,18.6375,19.02,18.66,18.81,18.9875,19.14,19.02,19.17
50%,27.46,24.53,27.7,23.81,21.875,27.455,30.88,24.705,27.65,30.13,22.195,29.19,23.085,25.22,23.74,22.9,27.435000000000002,25.18,27.4,24.75,25.634999999999998,26.585,27.0,23.09,22.83,25.71,21.71,21.44,21.77,22.34,23.01,24.4,22.465,21.51,21.39,25.095,21.61,24.23,24.64,24.14,24.28,24.46,24.64,24.56,24.79
75%,37.4325,33.7425,37.65,32.815,30.59,37.33,44.19,34.192499999999995,37.5,40.052499999999995,31.0025,41.03,31.84,34.662499999999994,32.94,28.37,34.77,31.72,35.18,30.43,32.1725,32.135000000000005,33.56,29.09,29.01,32.332499999999996,27.0925,26.902499999999996,27.654999999999998,27.31,28.75,32.0225,27.745,26.24,25.7725,32.332499999999996,26.91,35.7125,36.23,35.41,35.5,35.88,36.2,36.0325,36.37
max,1734.83,1562.97,1816.04,1483.81,1468.65,1636.16,1639.15,1553.89,1729.73,1823.62,1454.9,2026.53,1424.43,1558.5,1534.59,494.4,528.12,512.65,523.8,609.32,1121.23,637.53,1996.95,505.68,512.15,513.01,483.13,479.49,483.74,257.95,264.71,311.81,265.38,254.01,248.41,276.3,240.72,245.08,254.0,252.24,260.8,263.13,262.51,261.7,258.51
BC_ratio,1.1464849490556133,1.0086818325565303,1.1857951804762277,0.9639577125357662,0.8339308194151367,1.1521918099194308,1.4247465743787355,0.997697023156232,1.1755412423660223,1.2997036437232679,0.8475948923296668,1.225802492715432,0.8981768734660995,1.105960633884958,1.1734812881806531,0.8746871165981182,1.160473566803283,1.0306107540883074,1.1860284061748623,1.0188732229489752,1.232247425753821,1.0872187583098727,1.3454661750513537,0.9195245533465581,0.8954442550787683,1.0425725206642718,0.807678004201626,0.8139410943961956,0.830889337347373,0.9622690707951442,1.0151528322318588,1.2658844201312667,0.9864004025789801,0.9075584007711405,0.8864400209256581,1.203236906792731,0.9101174745547691,0.841577132923114,0.8461991840771851,0.8312020114471861,0.8344366078467668,0.8371812607799238,0.8442602264159325,0.8415866056016955,0.8502863649593176
