count,mean,std,min,25%,50%,75%,max,BC_ratio,State,lat,lon,Sun
8664.0,39.10628347183748,73.04578221532792,-817.52,20.7175,27.46,37.4325,1734.83,1.15089290854901,NY_CAPITL,43.010541,-74.039993,148.88447488584475
8664.0,32.16280470914121,55.8230496640081,-779.3,18.3,24.53,33.7425,1562.97,1.0110762286417871,NY_CENTRL,42.27676,-77.061093,145.9527397260274
8664.0,38.99463180978747,72.82606865457677,-815.94,21.017500000000002,27.7,37.65,1816.04,1.1902213366300618,NY_DUNWOD,41.842657,-73.839993,154.4087899543379
8664.0,31.033507617728564,53.85471552296078,-764.89,17.69,23.81,32.815,1483.81,0.9661856184950474,NY_GENESE,42.47676,-77.461093,150.55422374429224
8664.0,25.665167359187407,63.857352395691805,-1989.73,14.93,21.875,30.59,1468.65,0.8361549632411898,NY_HQ,41.62657,-73.79993,149.28641552511417
8664.0,38.04413319482914,68.50190979481812,-812.88,20.7775,27.455,37.33,1636.16,1.154124106514635,NY_HUDSON_VALLEY,43.510541,-74.039993,154.4087899543379
8664.0,46.65371075715586,80.15426722545625,-838.06,22.62,30.88,44.19,1639.15,1.4247275068521557,NY_LONG_ISLAND,40.842657,-73.120245,157.60045662100455
8664.0,32.45299515235454,57.45588300237058,-786.14,18.33,24.705,34.192499999999995,1553.89,1.0017447025421413,NY_MHKVL,42.910541,-74.839993,149.28641552511417
8664.0,38.6065951061865,71.05566179716898,-815.24,20.94,27.65,37.5,1729.73,1.1750108593239812,NY_MILLWD,42.910541,-73.539993,154.4087899543379
8664.0,42.25666897506924,75.82971282145986,-821.31,22.817500000000003,30.13,40.052499999999995,1823.62,1.3064501448975199,N.Y.C.,41.32657,-73.120245,157.60045662100455
8664.0,26.18550784856887,63.01088090008663,-1711.21,15.37,22.195,31.0025,1454.9,0.8486236438626386,NY_NORTH,42.810541,-73.8620245,153.37808219178083
8664.0,41.63918397968603,76.2211759800028,-824.34,21.48,29.19,41.03,2026.53,1.2305520024606302,NY_NPX,42.842657,-73.120245,148.88447488584475
8664.0,29.380216989843042,71.04592738887014,-3970.96,17.02,23.085,31.84,1424.43,0.9020221908001061,NY_OH,43.842657,-73.120245,149.28641552511417
8664.0,34.613785780239965,63.83071131072185,-784.05,19.1175,25.22,34.662499999999994,1558.5,1.1065130449592375,NY_PJM,37.961863,-80.930758,145.9527397260274
8664.0,33.05256117266861,64.54383422310211,-773.2,17.61,23.74,32.94,1534.59,1.176877280807735,NY_WEST,42.480988,-78.603301,147.6244292237443
8664.0,26.52336218836566,15.203250114864064,-53.45,20.31,22.9,28.37,494.4,0.8777398164673369,MINNESOTA,46.729553,-94.6859,154.52579908675798
8664.0,32.93281394275164,22.817707413892524,-28.59,23.53,27.435000000000002,34.77,528.12,1.1621719334120437,MICHIGAN,44.314844,-85.602364,158.02100456621005
8664.0,29.120604801477317,16.039502222325325,-88.45,21.68,25.18,31.72,512.65,1.03338835521356,ILLINOIS,40.633125,-89.398528,170.49303652968035
8664.0,32.99553093259459,20.824834640389714,2.87,23.35,27.4,35.18,523.8,1.1889017435315365,INDIANA,40.551217,-85.602364,166.20787671232875
8664.0,29.209838411818975,19.488156546223117,-61.09,21.67,24.75,30.43,609.32,1.0244372620087079,ARKANSAS,35.20105,-91.831833,181.68253424657533
8664.0,32.47273199445984,37.10465522998533,-109.27,22.1,25.634999999999998,32.1725,1121.23,1.238099111004811,MISSISIPI,32.354668,-89.398528,212.82625570776256
8664.0,31.284196675900226,23.07381855660154,-34.42,22.9975,26.585,32.135000000000005,637.53,1.091215308101783,TEXAS,31.968599,-99.901813,191.02682648401827
8664.0,35.408027469990785,53.45660015019507,-17.77,23.017500000000002,27.0,33.56,1996.95,1.3494630385955384,LOUISIANA,31.244823,-92.145024,169.26141552511416
8664.0,26.966014542936264,15.186223405848892,-16.97,20.14,23.09,29.09,505.68,0.9232282869057173,MISOURI,37.964253,-91.831833,165.11004566210045
8664.0,26.17942289935366,16.6082109812441,-87.26,19.69,22.83,29.01,512.15,0.8986638675435492,IOWA,41.878003,-93.097702,159.81712328767122
8664.0,30.220839104339976,16.7424460761193,-14.59,22.63,25.71,32.332499999999996,513.01,1.045888522668378,WISCONSIN,43.78444,-88.787868,164.3912100456621
8664.0,24.465111957525384,15.830862083542364,-163.95,18.68,21.71,27.0925,483.13,0.8117482455561563,N-DAKOTA,47.551493,-101.002012,170.70114155251142
8664.0,24.842825484764486,14.751621216914288,-17.04,18.63,21.44,26.902499999999996,479.49,0.8165171316242836,S-DAKOTA,43.969515,-99.901813,170.70114155251142
8664.0,22.99572945521694,27.614500827244374,-489.55,18.63,21.77,27.654999999999998,483.74,0.8330910995387332,MONTANA,46.879682,-110.362566,162.53036529680367
8664.0,24.709502539242852,10.201124463303978,1.92,19.29,22.34,27.31,257.95,0.965406519710883,TX_AEN,30.290202,-97.855775,191.02682648401827
8664.0,25.649075484764673,11.011001539348316,1.99,19.74,23.01,28.75,264.71,1.0174942695219136,TX_CPS,30.0202,-96.855775,191.02682648401827
8664.0,29.104544090489227,16.63126107306447,3.0,20.13,24.4,32.0225,311.81,1.2680597935485076,TX_HOUSTON,29.629678,-95.531738,191.02682648401827
8664.0,24.996196906740533,10.715838350259645,1.9,19.29,22.465,27.745,265.38,0.9889435702375052,TX_LCRA,30.290202,-98.855775,191.02682648401827
8664.0,23.901585872576145,9.697250315128514,1.89,18.78,21.51,26.24,254.01,0.9099031512637304,TX_NORTH,33.290202,-96.95775,191.02682648401827
