count,mean,std,min,25%,50%,75%,max,BC_ratio,State,lat,lon,Sun
8664.0,23.675587488458106,9.063218793378569,2.04,18.87,21.39,25.7725,248.41,0.8889524080289158,TX_RAYBN,33.70202,-95.855775,191.02682648401827
8664.0,28.94264658356421,14.837363789340303,1.85,20.69,25.095,32.332499999999996,276.3,1.208515626141649,TX_SOUTH,28.549137,-98.906276,191.02682648401827
8664.0,23.726464681440486,10.65263932989089,-3.67,18.54,21.61,26.91,240.72,0.9123856766204334,TX_WEST,33.576631,-100.362416,191.02682648401827
8664.0,30.170945742502692,20.07397946426146,-55.78,18.6375,24.23,35.7125,245.08,0.8458996198819172,MAINE,45.253783,-69.445469,156.6851598173516
8664.0,30.749861997671594,20.49123206046282,-56.38,19.02,24.64,36.23,254.0,0.8491660408202087,NEW_HAMPSHIRE,43.193852,-71.572395,150.49360730593608
8664.0,30.097080874382776,20.07081788674752,-55.54,18.66,24.14,35.41,252.24,0.8331132653447924,VERMONT,44.558803,-72.577841,155.64132420091323
8664.0,30.30023334939185,20.321786582687956,-55.31,18.81,24.28,35.5,260.8,0.8364876820049484,CONNETICUT,41.603221,-73.087749,154.75776255707763
8664.0,30.66064454614793,20.681131735018756,-56.46,18.9875,24.46,35.88,263.13,0.8407625973603823,RHODEISLAND,41.580095,-71.477429,154.75776255707763
8664.0,30.852253251836785,20.696797585002344,-56.77,19.14,24.64,36.2,262.51,0.8476033131905887,SE_MASSACHUSETTS,41.673413,-70.449744,154.75776255707763
8664.0,30.72471325625272,20.64923793676219,-56.14,19.02,24.56,36.0325,261.7,0.8447757555593192,WEST_MASSACHUSETTS,42.379526,-73.207462,154.75776255707763
8664.0,30.96552882492268,20.69530416791552,-56.58,19.17,24.79,36.37,258.51,0.8538528762717505,BOSTON,42.371063,-70.986413,154.75776255707763
